|city   |department_name     |
|-------|--------------------|
|Seattle|Administration      |
|Toronto|Marketing           |
|Seattle|Purchasing          |
|Seattle|Executive           |
|Seattle|Finance             |
|Seattle|Accounting          |
|Seattle|Treasury            |
|Seattle|Corporate Tax       |
|Seattle|Control And Credit  |
|Seattle|Shareholder Services|
|Seattle|Benefits            |
|Seattle|Manufacturing       |
|Seattle|Construction        |
|Seattle|Contracting         |
|Seattle|Operations          |
|Seattle|IT Support          |
|Seattle|NOC                 |
|Seattle|IT Helpdesk         |
|Seattle|Government Sales    |
|Seattle|Retail Sales        |
|Seattle|Recruiting          |
|Seattle|Payroll             |
|Roma   |                    |
|Bern   |                    |
